categoria,27/3/2022,20/3/2022,19/3/2022,10/3/2022,12/2/2022,9/2/2022,8/2/2022,6/2/2022,28/1/2022,28/1/2022,26/1/2022,25/1/2022,12/1/2022,11/1/2022,8/1/2022,6/1/2022,29/12/2021,27/12/2021,22/12/2021,16/12/2021,11/12/2021,5/12/2021,28/11/2021,27/11/2021,22/11/2021,14/11/2021,14/11/2021,13/11/2021,7/11/2021,7/11/2021,30/10/2021
Hamburguesas,1198.0,2088.0,2088.0,2088.0,3420.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,4358.0,5348.0,5348.0,5348.0,5348.0,5348.0,5348.0,5348.0,5348.0,6228.0,6228.0
Milanesas,0.0,0.0,1180.0,1180.0,1180.0,1180.0,2610.0,2610.0,2610.0,2610.0,4292.0,5974.0,6924.0,7986.0,7986.0,8921.0,8921.0,9815.0,9815.0,9815.0,10773.0,10773.0,10773.0,11571.0,11571.0,11571.0,11571.0,12066.0,12066.0,12066.0,12066.0
Pollo frito,0.0,0.0,0.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0
Comida Asiatica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.0,1351.0,1351.0,1351.0,1351.0,1351.0,1351.0,1351.0,1351.0,2509.0,2509.0,2509.0,2509.0,2509.0,2509.0,2509.0,2509.0,2509.0,2509.0,2509.0,2509.0,3309.0,3309.0,4174.0
Helado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0
Comida Italiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0,4184.0
Comida Sana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0
Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0
Parrilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,866.0,866.0,1765.0,1765.0,1765.0,1765.0,2655.0,2655.0,2655.0,2655.0,2655.0
Comida Mexicana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
