restaurante,total,categoria,fecha,descuentos
Dean & Dennys - Puerto Madero,1198,Hamburguesas,27/3/2022,1221
Mostaza - MF2,890,Hamburguesas,20/3/2022,146
El Club de la Milanesa Barrio Norte,1180 ,Milanesas,19/3/2022,694
KFC - Galerías Pacífico, 1144,Pollo Frito,10/3/2022,823
Burgertify - Av Córdoba,1332,Hamburguesas,12/2/2022,243
Dean & Dennys - Puerto Madero,938,Hamburguesas,9/2/2022,225
Milanga & Co,1430,Milanesas,8/2/2022,304
Wok tu Wok - San Telmo,1351,Comida Asiatica,6/2/2022,389
Cadore,2304,Helado,28/1/2022,234
Il Quotidiano - Bar de Pastas,4184,Comida Italiana,28/1/2022,288
El Club de la Milanesa Barrio Norte,1682,Milanesas,26/1/2022,1048
El Club de la Milanesa Barrio Norte,1682,Milanesas,25/1/2022,1117
La Farola Express - Flores,950,Milanesas,12/1/2022,456
El Club de la Milanesa Barrio Norte,1062,Milanesas,11/1/2022,516
Green Eat- Florida,1300,Comida Sana,8/1/2022,665
El Club de la Milanesa Barrio Norte,935,Milanesas,6/1/2022,263
Sensu - Patio Bullrich,1158,Comida Asiatica,29/12/2021,151
Milanga & Co,894,Milanesas,27/12/2021,331
Chemuzza - Obelisco,1127,Pizza,22/12/2021,163
Parrilla El Gaucho,866,Parrilla,16/12/2021,348
El Club de la Milanesa Barrio Norte,958,Milanesas,11/12/2021,254
Perez H- San Telmo,990,Hamburguesas,5/12/2021,189
Juan Bautista Parrilla Gaucha,899,Parrilla,28/11/2021,123
El Club de la Milanesa Barrio Norte,798,Milanesas,27/11/2021,456
La Fábrica del Taco - San Telmo,1010,Comida Mexicana,22/11/2021,129
Tea Connection - Florida,890,Comida Sana,14/11/2021,427
Pippo,890,Parrilla,14/11/2021,166
Milanga & Co,495,Milanesas,13/11/2021,151
Sensu - Galerías Pacífico,800,Comida Asiatica,7/11/2021,162
The Food Truck Store,880,Hamburguesas,7/11/2021,191
Woks & Bowls - Congreso,865,Comida Asiatica,30/10/2021,166
